id,mappings,description
Action,,An action applied by a role within a given party to the content.
Activity,,"Identifies an assessment or related process that can be performed. In the assessment plan, this is an intended activity."
Addition,,Specifies content to be added into controls in resolution.
Address,,A postal address for the location.
Alteration,,Specifies changes to be made to an included control when a profile is resolved.
AssessmentAssets,,Identifies the assets used to perform this assessment.
AssessmentLog,,A log of all assessment-related actions taken.
AssessmentLogEntry,,Identifies the result of an action and/or task that occurred as part of executing an assessment plan or assessment event.
AssessmentMethod,,A local definition of a control objective.
AssessmentPart,,A partition of an assessment plan or results or a child of another part.
AssessmentPlan,,"An assessment plan, such as those provided by a FedRAMP assessor."
AssessmentPlanDocument,,Root wrapper for an OSCAL Assessment Plan document.
AssessmentPlatform,,Used to represent the toolset used to perform aspects of the assessment.
AssessmentResults,,"Security assessment results, such as those provided by a FedRAMP assessor in a security assessment report."
AssessmentResultsDocument,,Root wrapper for an OSCAL Assessment Results document.
AssessmentResultsLocalDefinitions,,Used to define data objects that are referenced by the assessment results but do not appear in the imported assessment plan.
AssessmentSelectControlById,,Select a specific control for inclusion/exclusion in the assessment by literal control ID and optional statement IDs.
AssessmentSubject,,"Identifies system elements being assessed, such as components, inventory items, and locations."
AssessmentSubjectPlaceholder,,Used when the assessment subjects will be determined as part of one or more other assessment activities.
AssessmentSubjectSource,,Assessment subjects will be identified while conducting the referenced activity.
AssociatedActivity,,Identifies an individual activity to be performed as part of a task.
AssociatedRisk,,Relates the finding to a set of referenced risks.
AtFrequency,,The task is intended to occur at the specified frequency.
Attestation,,"A set of textual attestation statements, typically written by the assessor."
AuthorizationBoundary,,"A description of this system's authorization boundary, optionally supplemented with diagrams that illustrate the authorization boundary."
AuthorizedPrivilege,,"Identifies a specific system privilege held by the user, along with an associated description and/or rationale for the privilege."
BackMatter,,A collection of resources that may be referenced from within the OSCAL document instance.
Base64Resource,,A resource encoded using the Base64 alphabet defined by RFC 2045.
ByComponent,,Defines how the referenced component implements a set of controls.
Capability,,A grouping of other components and/or capabilities.
Catalog,,"A structured, organized collection of control information."
CatalogDocument,,Root wrapper for an OSCAL Catalog document.
Characterization,,A collection of descriptive data about the containing object from a specific origin.
Citation,,An optional citation consisting of end note text using structured markup.
CombinationRule,,"Defines how to resolve duplicate instances of the same control (e.g., controls with the same ID) encountered in a profile merge."
ComponentDefinition,,"A collection of component descriptions, which may optionally be grouped by capability."
ComponentDefinitionDocument,,Root wrapper for an OSCAL Component Definition document.
ComponentStatus,,Describes the operational status of the system component.
ConfidenceScore,,Confidence represented as a category and/or percentage value.
ConstraintTest,,A test expression which is expected to be evaluated by a tool.
Control,,"A structured object representing a requirement or guideline, which when implemented will reduce an aspect of risk related to an information system and its information."
ControlImplementationSet,,Defines how the component or capability supports a set of controls.
ControlMatching,,Selecting a set of controls by matching their IDs with a wildcard pattern.
ControlObjectiveSelection,,Identifies the control objectives of the assessment.
ControlPart,,"An annotated, markup-based textual element of a control's or catalog group's definition, or a child of another part."
ControlResponsibility,,Describes a control implementation responsibility imposed on a leveraging system.
ControlSelection,,Identifies the controls being assessed.
Coverage,,A percentage representing target coverage by source mappings.
DataFlow,,"A description of the logical flow of information within the system and across its boundaries, optionally supplemented with diagrams."
DefinedComponent,,A defined component that can be part of an implemented system.
Diagram,,"A graphic that provides a visual representation the system, or some aspect of it."
DocumentId,,A document identifier qualified by an identifier scheme.
EventTiming,,The timing under which the task is intended to occur.
Export,,Defines a set of control implementations that are provided as reference implementations for use by organizations implementing the leveraged system.
Facet,,An individual characteristic that is part of a larger set produced by the same actor.
Finding,,Describes an individual finding.
FindingTarget,,Captures an assessor's conclusions regarding the degree to which an objective is satisfied.
GapSummary,,A summary of controls that were not mapped.
Group,,"A group of controls, or of groups of controls."
Hash,,A representation of a cryptographic digest generated over a resource using a specified hash algorithm.
HasPropsAndLinks,,Mixin providing the props and links slots that are common to many OSCAL objects.
HasResponsibleParties,,Mixin providing the responsible-parties slot for objects that carry party assignments.
HasResponsibleRoles,,Mixin providing the responsible-roles slot for objects that carry role assignments.
