#license: Apache-2.0
#mapping_set_id: https://w3id.org/lmodel/oscal
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-05-20
#curie_map: 
# oscal: https://w3id.org/lmodel/oscal/
# linkml: https://w3id.org/linkml/
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
oscal_catalog:Action	Action	skos:exactMatch		oscal_catalog:Action		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_assessment_plan:Activity	Activity	skos:exactMatch		oscal_assessment_plan:Activity		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_profile:Addition	Addition	skos:exactMatch		oscal_profile:Addition		skos:exactMatch	https://w3id.org/lmodel/oscal_profile									
oscal_catalog:Address	Address	skos:exactMatch		oscal_catalog:Address		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_profile:Alteration	Alteration	skos:exactMatch		oscal_profile:Alteration		skos:exactMatch	https://w3id.org/lmodel/oscal_profile									
oscal_assessment_plan:AssessmentAssets	AssessmentAssets	skos:exactMatch		oscal_assessment_plan:AssessmentAssets		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_results:AssessmentLog	AssessmentLog	skos:exactMatch		oscal_assessment_results:AssessmentLog		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_results									
oscal_assessment_results:AssessmentLogEntry	AssessmentLogEntry	skos:exactMatch		oscal_assessment_results:AssessmentLogEntry		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_results									
oscal_assessment_plan:AssessmentMethod	AssessmentMethod	skos:exactMatch		oscal_assessment_plan:AssessmentMethod		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:AssessmentPart	AssessmentPart	skos:exactMatch		oscal_assessment_plan:AssessmentPart		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:AssessmentPlan	AssessmentPlan	skos:exactMatch		oscal_assessment_plan:AssessmentPlan		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:AssessmentPlanDocument	AssessmentPlanDocument	skos:exactMatch		oscal_assessment_plan:AssessmentPlanDocument		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:AssessmentPlatform	AssessmentPlatform	skos:exactMatch		oscal_assessment_plan:AssessmentPlatform		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_results:AssessmentResults	AssessmentResults	skos:exactMatch		oscal_assessment_results:AssessmentResults		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_results									
oscal_assessment_results:AssessmentResultsDocument	AssessmentResultsDocument	skos:exactMatch		oscal_assessment_results:AssessmentResultsDocument		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_results									
oscal_assessment_results:AssessmentResultsLocalDefinitions	AssessmentResultsLocalDefinitions	skos:exactMatch		oscal_assessment_results:AssessmentResultsLocalDefinitions		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_results									
oscal_assessment_plan:AssessmentSelectControlById	AssessmentSelectControlById	skos:exactMatch		oscal_assessment_plan:AssessmentSelectControlById		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:AssessmentSubject	AssessmentSubject	skos:exactMatch		oscal_assessment_plan:AssessmentSubject		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:AssessmentSubjectPlaceholder	AssessmentSubjectPlaceholder	skos:exactMatch		oscal_assessment_plan:AssessmentSubjectPlaceholder		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:AssessmentSubjectSource	AssessmentSubjectSource	skos:exactMatch		oscal_assessment_plan:AssessmentSubjectSource		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:AssociatedActivity	AssociatedActivity	skos:exactMatch		oscal_assessment_plan:AssociatedActivity		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:AssociatedRisk	AssociatedRisk	skos:exactMatch		oscal_assessment_plan:AssociatedRisk		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:AtFrequency	AtFrequency	skos:exactMatch		oscal_assessment_plan:AtFrequency		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_results:Attestation	Attestation	skos:exactMatch		oscal_assessment_results:Attestation		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_results									
oscal_ssp:AuthorizationBoundary	AuthorizationBoundary	skos:exactMatch		oscal_ssp:AuthorizationBoundary		skos:exactMatch	https://w3id.org/lmodel/oscal_ssp									
oscal_assessment_plan:AuthorizedPrivilege	AuthorizedPrivilege	skos:exactMatch		oscal_assessment_plan:AuthorizedPrivilege		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_catalog:BackMatter	BackMatter	skos:exactMatch		oscal_catalog:BackMatter		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:Base64Resource	Base64Resource	skos:exactMatch		oscal_catalog:Base64Resource		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_ssp:ByComponent	ByComponent	skos:exactMatch		oscal_ssp:ByComponent		skos:exactMatch	https://w3id.org/lmodel/oscal_ssp									
oscal_component:Capability	Capability	skos:exactMatch		oscal_component:Capability		skos:exactMatch	https://w3id.org/lmodel/oscal_component									
oscal_catalog:Catalog	Catalog	skos:exactMatch		oscal_catalog:Catalog		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:CatalogDocument	CatalogDocument	skos:exactMatch		oscal_catalog:CatalogDocument		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_assessment_plan:Characterization	Characterization	skos:exactMatch		oscal_assessment_plan:Characterization		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
