Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
Action		Action	An action applied by a role within a given party to the content.							
					uuid	Action_uuid	str	1..1	A unique identifier that can be used to reference this defined action elsewhere in an OSCAL document.	oscal_catalog:uuid
					type	Action_type	ActionTypeEnum	1..1	The type of action documented by the assembly, such as an approval.	oscal_catalog:type
					date		str	0..1	The date and time when the action occurred.	oscal_catalog:date
					system	Action_system	str	1..1	Specifies the action type system used.	oscal_catalog:system
					remarks		str	0..1	Additional commentary about the containing object.	oscal_catalog:remarks
					props		Property	0..*	A list of properties.	oscal_catalog:props
					links		Link	0..*	A list of links.	oscal_catalog:links
					responsible-parties		ResponsibleParty	0..*	Responsible party assignments.	oscal_catalog:responsible_parties
Activity		Activity	Identifies an assessment or related process that can be performed. In the assessment plan, this is an intended activity.							
					uuid	Activity_uuid	str	1..1	A machine-oriented, globally unique identifier with a cross-instance scope.	oscal_catalog:uuid
					title		str	0..1	A human-readable name or title.	oscal_catalog:title
					description	Activity_description	str	1..1	A human-readable description.	oscal_catalog:description
					steps		Step	0..*	A collection of steps in an activity.	oscal_assessment_plan:steps
					related-controls		ReviewedControls	0..1	A reference to reviewed controls for this activity or step.	oscal_assessment_plan:related_controls
					remarks		str	0..1	Additional commentary about the containing object.	oscal_catalog:remarks
					props		Property	0..*	A list of properties.	oscal_catalog:props
					links		Link	0..*	A list of links.	oscal_catalog:links
					responsible-roles		ResponsibleRole	0..*	Responsible role assignments.	oscal_catalog:responsible_roles
Addition		Addition	Specifies content to be added into controls in resolution.							
					position		AdditionPositionEnum	0..1	Where to add new content relative to the targeted element.	oscal_profile:position
					by-id		str	0..1	Identify or target items by their id value.	oscal_profile:by_id
					title		str	0..1	A human-readable name or title.	oscal_catalog:title
					params		Parameter	0..*	Parameters providing a mechanism for the dynamic assignment of value(s) in a control.	oscal_catalog:params
					props	Addition_props	ProfileAlterationProperty	0..*	A list of properties.	oscal_catalog:props
					links		Link	0..*	A list of links.	oscal_catalog:links
					parts		Part	0..*	A collection of parts.	oscal_catalog:parts
Address		Address	A postal address for the location.							
					type	Address_type	str	0..1	"Indicates the type of address. Recommended values: home, work. Other values are permitted (OSCAL allow-other=""yes"")."	oscal_catalog:type
					addr-lines		str	0..*	A single line of an address.	oscal_catalog:addr_lines
					city		str	0..1	City, town or geographical region for the mailing address.	oscal_catalog:city
					state		str	0..1	State, province or analogous geographical region for a mailing address.	oscal_catalog:state
					postal-code		str	0..1	Postal or ZIP code for mailing address.	oscal_catalog:postal_code
					country		str	0..1	The ISO 3166-1 alpha-2 country code for the mailing address.	oscal_catalog:country
Alteration		Alteration	Specifies changes to be made to an included control when a profile is resolved.							
					control-id	Alteration_control-id	str	1..1	A reference to a control by its identifier.	oscal_catalog:control_id
					removes		Removal	0..*	Specifies objects to be removed from a control in resolution.	oscal_profile:removes
					adds		Addition	0..*	Specifies content to be added into a control in resolution.	oscal_profile:adds
AssessmentAssets		AssessmentAssets	Identifies the assets used to perform this assessment.							
					components		SystemComponent	0..*	A collection of system components.	oscal_assessment_plan:components
					assessment-platforms	AssessmentAssets_assessment-platforms	AssessmentPlatform	1..*	A collection of assessment platforms.	oscal_assessment_plan:assessment_platforms
AssessmentLog		AssessmentLog	A log of all assessment-related actions taken.							
					entries	AssessmentLog_entries	AssessmentLogEntry	1..*	Identifies an individual risk response that occurred as part of managing an identified risk.	oscal_assessment_plan:entries
AssessmentLogEntry		AssessmentLogEntry	Identifies the result of an action and/or task that occurred as part of executing an assessment plan or assessment event.							
					uuid	AssessmentLogEntry_uuid	str	1..1	A machine-oriented, globally unique identifier with a cross-instance scope.	oscal_catalog:uuid
					title		str	0..1	A human-readable name or title.	oscal_catalog:title
					description		str	0..1	A human-readable description.	oscal_catalog:description
					start	AssessmentLogEntry_start	str	1..1	The start date/time.	oscal_assessment_plan:start
					end		str	0..1	The end date/time.	oscal_assessment_plan:end
					logged-by		LoggedBy	0..*	Used to indicate who created a log entry in what role.	oscal_assessment_plan:logged_by
					related-tasks		RelatedTask	0..*	Identifies tasks for which the containing object is a consequence.	oscal_assessment_plan:related_tasks
					remarks		str	0..1	Additional commentary about the containing object.	oscal_catalog:remarks
					props		Property	0..*	A list of properties.	oscal_catalog:props
					links		Link	0..*	A list of links.	oscal_catalog:links
AssessmentMethod		AssessmentMethod	A local definition of a control objective.							
					uuid	AssessmentMethod_uuid	str	1..1	A machine-oriented, globally unique identifier with a cross-instance scope.	oscal_catalog:uuid
					description		str	0..1	A human-readable description.	oscal_catalog:description
					part	AssessmentMethod_part	AssessmentPart	1..1	An assessment part.	oscal_assessment_plan:part
					remarks		str	0..1	Additional commentary about the containing object.	oscal_catalog:remarks
					props		Property	0..*	A list of properties.	oscal_catalog:props
					links		Link	0..*	A list of links.	oscal_catalog:links
AssessmentPart		AssessmentPart	A partition of an assessment plan or results or a child of another part.							
					uuid		str	0..1	A machine-oriented, globally unique identifier with a cross-instance scope.	oscal_catalog:uuid
					name	AssessmentPart_name	str	1..1	A textual label that uniquely identifies an attribute or semantic type.	oscal_catalog:name
					ns		str	0..1	An optional namespace qualifying a name. Allows different organizations to associate distinct semantics with the same name.	oscal_catalog:ns
					_class		str	0..1	A textual label that provides a sub-type or characterization.	oscal_catalog:_class
					title		str	0..1	A human-readable name or title.	oscal_catalog:title
					prose		str	0..1	Permits multiple paragraphs, lists, tables etc.	oscal_catalog:prose
					parts	AssessmentPart_parts	AssessmentPart	0..*	A collection of parts.	oscal_catalog:parts
					props		Property	0..*	A list of properties.	oscal_catalog:props
					links		Link	0..*	A list of links.	oscal_catalog:links
AssessmentPlan		AssessmentPlan	An assessment plan, such as those provided by a FedRAMP assessor.							
					uuid	AssessmentPlan_uuid	str	1..1	Assessment Plan Universally Unique Identifier.	oscal_catalog:uuid
					metadata	AssessmentPlan_metadata	Metadata	1..1	Provides information about the containing document, and defines concepts shared across the document.	oscal_catalog:metadata
					import-ssp	AssessmentPlan_import-ssp	ImportSSP	1..1	Used to import information about the system from an SSP.	oscal_assessment_plan:import_ssp
					local-definitions		LocalDefinitions	0..1	Used to define data objects that do not appear in the referenced SSP.	oscal_assessment_plan:local_definitions
					terms-and-conditions		TermsAndConditions	0..1	Terms and conditions under which an assessment can be performed.	oscal_assessment_plan:terms_and_conditions
					assessment-subjects		AssessmentSubject	0..*	Identifies system elements being assessed.	oscal_assessment_plan:assessment_subjects
					assessment-assets		AssessmentAssets	0..1	Identifies the assets used to perform this assessment.	oscal_assessment_plan:assessment_assets
					reviewed-controls	AssessmentPlan_reviewed-controls	ReviewedControls	1..1	Identifies the controls being assessed and their control objectives.	oscal_assessment_plan:reviewed_controls
					tasks		Task	0..*	A collection of tasks.	oscal_assessment_plan:tasks
					back-matter		BackMatter	0..1	A collection of resources that may be referenced from within the OSCAL document instance.	oscal_catalog:back_matter
AssessmentPlanDocument	OscalDocument	AssessmentPlanDocument	Root wrapper for an OSCAL Assessment Plan document.							
					assessment-plan	AssessmentPlanDocument_assessment-plan	AssessmentPlan	1..1	The root assessment plan object.	oscal_assessment_plan:assessment_plan
AssessmentPlatform		AssessmentPlatform	Used to represent the toolset used to perform aspects of the assessment.							
					uuid	AssessmentPlatform_uuid	str	1..1	A machine-oriented, globally unique identifier with a cross-instance scope.	oscal_catalog:uuid
					title		str	0..1	A human-readable name or title.	oscal_catalog:title
					uses-components		UsesComponent	0..*	The set of components used by the assessment platform.	oscal_assessment_plan:uses_components
					remarks		str	0..1	Additional commentary about the containing object.	oscal_catalog:remarks
					props		Property	0..*	A list of properties.	oscal_catalog:props
